name,sc,origin
6uuh,None,antibody
3phq,None,antibody
5m95,None,antibody
8ds5,None,antibody
5i6z,None,antibody
6w0f,None,antibody
7tlz,None,antibody
6q18,None,antibody
7ri2,None,antibody
7nxx,None,antibody
6muf,None,antibody
2f58,None,antibody
8h7r,None,antibody
7x7t,None,antibody
1mfe,None,antibody
8pmx,None,antibody
6cnk,None,antibody
5kvd,None,antibody
3twc,None,antibody
8vyl,None,antibody
8vvo,None,antibody
7sp6,None,antibody
6b0a,None,antibody
6mtp,None,antibody
7k8y,None,antibody
7ahv,None,antibody
7cwl,None,antibody
7soc,None,antibody
8emy,None,antibody
7qne,None,antibody
3stz,None,antibody
6i3z,None,antibody
7tcq,None,antibody
6tgg,None,antibody
8xs3,None,antibody
5lsp,None,antibody
7kmk,None,antibody
8sfs,None,antibody
3j69,    0.426,antibody
5f1k,None,antibody
8dfh,None,antibody
7ydy,None,antibody
5gjt,None,antibody
2nr6,None,antibody
7x26,None,antibody
6axk,None,antibody
6mft,None,antibody
1bfv,None,antibody
3be1,None,antibody
6xc2,None,antibody
5e2w,None,antibody
7kzc,None,antibody
7xdl,None,antibody
7neg,None,antibody
5t29,None,antibody
7rp0,None,antibody
2dwd,None,antibody
8h08,None,antibody
6f7t,None,antibody
5d9q,None,antibody
8zby,None,antibody
1r3j,None,antibody
8sip,None,antibody
8zc0,None,antibody
3l5y,None,antibody
7s0c,None,antibody
5mzv,None,antibody
7ej5,None,antibody
5eul,None,antibody
6nnf,None,antibody
7beo,None,antibody
8fja,None,antibody
7wov,None,antibody
4ut6,None,antibody
7lg6,None,antibody
2r8s,None,antibody
7wbh,None,antibody
7czt,None,antibody
6waq,None,antibody
6e62,None,antibody
6ww5,None,antibody
4xwo,None,antibody
4ogy,None,antibody
6k5d,None,antibody
7ttx,None,antibody
4mhj,None,antibody
7sg5,None,antibody
1tjg,None,antibody
5xcr,None,antibody
7x94,None,antibody
7pa7,None,antibody
6wwc,    0.840,antibody
7lr3,None,antibody
7cws,None,antibody
6xp6,None,antibody
6nf2,None,antibody
7mn8,None,antibody
8goo,None,antibody
6kva,None,antibody
7n0h,None,antibody
8jh5,None,antibody
7s2s,None,antibody
7woa,None,antibody
7jw0,None,antibody
7p78,None,antibody
6xw4,None,antibody
7l06,None,antibody
5w1k,None,antibody
2ipu,None,antibody
1a2y,None,antibody
8tp4,None,antibody
6opq,None,antibody
4llv,None,antibody
4kvn,None,antibody
4hkx,None,antibody
7q9m,None,antibody
8bg1,None,antibody
7tl0,None,antibody
7epx,None,antibody
7uz5,None,antibody
6o3b,None,antibody
8dpl,    0.525,antibody
8hbj,    0.571,antibody
7x8w,None,antibody
7r4q,None,antibody
7mlz,None,antibody
8qyb,None,antibody
6xxv,None,antibody
5iq7,None,antibody
7ts0,None,antibody
4wem,None,antibody
5uek,None,antibody
4zso,None,antibody
2xt1,None,antibody
6ocd,None,antibody
5k9o,None,antibody
5xez,None,antibody
4n1e,    0.617,antibody
4jg0,None,antibody
4bh7,    0.710,antibody
7fbi,    0.376,antibody
6p62,None,antibody
6ur5,None,antibody
3k1k,None,antibody
6wit,None,antibody
2ajx,None,antibody
5bo1,None,antibody
6x8p,None,antibody
7mej,None,antibody
